 ,Area,Mean,Min,Max,Angle,Length
1,5.925,19581.889,14733.000,23972.250,113.199,6.179
2,4.608,50084.000,39687.582,63525.277,53.746,5.031
3,3.950,47201.147,37843.766,57152.035,56.310,3.901
4,4.608,46974.426,32868.168,54695.648,61.928,4.598
5,5.266,55413.814,45530.738,65535.000,77.005,5.412
6,4.608,55257.932,45786.781,65535.000,108.435,4.490
7,3.950,54566.751,49160.051,63633.172,63.435,4.082
8,3.950,56871.298,48545.625,65535.000,96.009,3.875
9,4.608,60049.074,52625.438,65535.000,85.236,4.885
10,4.608,48491.811,42128.344,56207.250,92.490,4.670
11,3.950,55937.840,43483.273,63514.160,110.772,4.194
12,4.608,54251.954,46102.668,61620.445,103.241,4.723
13,3.950,55684.167,44663.500,61300.500,108.435,4.276
14,3.950,56308.192,47065.199,65535.000,109.290,4.298
15,4.608,54097.061,48353.277,60858.723,70.560,4.876
16,4.608,56877.416,54965.582,58536.082,90.000,4.665
17,3.950,57323.542,55087.352,59707.250,62.241,4.355
18,3.950,49922.700,45585.898,52103.500,90.000,3.854
19,3.950,53900.629,44387.320,60930.074,116.565,4.082
20,5.266,54812.090,44915.266,65535.000,72.255,5.324
21,4.608,49159.878,37040.875,59013.125,101.768,4.973
22,4.608,52757.991,40130.625,65535.000,97.125,4.906
23,3.950,53266.939,44570.871,65535.000,81.870,4.303
24,4.608,44851.399,36306.195,59234.875,102.265,4.774
25,4.608,51397.230,36954.750,64121.516,73.072,4.877
26,4.608,57379.531,49911.500,65535.000,79.695,4.536
27,5.266,50293.143,30983.598,63640.262,98.746,5.336
28,5.266,55875.299,47338.547,64729.117,98.130,5.737
29,3.950,42553.445,24742.141,60852.328,124.695,4.276
30,4.608,52588.256,40404.883,61284.047,116.565,4.838
31,5.266,54815.240,42753.344,65535.000,70.201,5.390
32,4.608,56614.690,45092.531,63805.141,71.434,4.672
33,2.644,44491.264,33169.000,58580.500,60.255,4.370
34,3.231,49404.954,32866.648,63393.449,83.991,5.177
35,3.819,50692.450,39860.090,63163.000,113.839,6.370
36,2.350,52602.114,42503.281,64593.418,127.405,3.866
37,2.644,52334.510,43787.082,59143.082,139.899,4.488
38,4.113,47118.757,24988.746,62961.508,100.437,6.981
39,2.350,40803.092,30133.480,46843.273,114.228,3.962
40,2.938,47152.196,43782.758,50910.020,90.000,5.059
41,2.350,54114.246,45896.602,61958.582,100.886,3.588
42,2.644,41668.746,24176.000,55091.234,111.371,4.462
43,2.938,55403.904,43617.203,64778.129,106.504,5.088
44,2.644,46303.062,34607.184,61493.082,138.180,4.606
45,2.644,45151.716,20061.916,63280.820,106.928,4.344
46,4.113,50242.123,37718.629,65003.219,143.130,7.227
47,2.644,44468.462,30123.750,60492.062,102.804,4.076
48,2.644,53224.514,44096.406,65535.000,95.356,4.355
49,2.938,50067.449,36497.723,55666.105,148.671,4.865
50,2.938,57476.286,52245.082,59887.117,90.000,5.059
51,1.763,43422.748,29538.900,52982.488,114.228,2.972
