sample1,,sample2,,sample3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0151978,0.0005618298892,800.0151978,0.0002418681688,800.0151978,0.000347347348,
799.0057373,1.524710297E-005,799.0057373,4.152307883E-005,799.0057373,0.0002702559286,
797.9959717,0.000239588946,797.9959717,5.542539657E-005,797.9959717,0.0003027383354,
796.9857178,-8.769280976E-005,796.9857178,-0.0002414489572,796.9857178,0.0001436908933,
796.0099487,-0.0001464381203,796.0099487,-0.0002560920257,796.0099487,-6.993825809E-005,
794.9989014,-0.0007411555271,794.9989014,-0.000590730051,794.9989014,-0.0001017199393,
793.9874878,-0.0001485082903,793.9874878,-0.0004765062477,793.9874878,-0.0009012420196,
793.0105591,-0.0002031055774,793.0105591,-0.0004619740648,793.0105591,-0.000568549498,
791.9983521,-0.0001387266384,791.9983521,-0.0004278912966,791.9983521,-0.000301880762,
790.9857178,-0.0003865642648,790.9857178,-0.00051472208,790.9857178,-0.0008621817688,
790.0076294,-0.0005601733574,790.0076294,-0.0006799577386,790.0076294,-0.0004817294539,
788.9942627,-0.0009084749618,788.9942627,-0.000520203379,788.9942627,-0.0006279535592,
788.0154419,-0.0007261153078,788.0154419,-0.0008339694468,788.0154419,-0.001121484092,
787.0012817,-0.0005591909285,787.0012817,-0.0007907173131,787.0012817,-0.0009146229131,
785.9865723,-0.001320917509,785.9865723,-0.0009262469248,785.9865723,-0.00102026097,
785.0067139,-0.001557196956,785.0067139,-0.001136252424,785.0067139,-0.0005283734645,
783.991272,-0.0007295782561,783.991272,-0.001447819523,783.991272,-0.0007610532921,
783.010498,-0.001073302701,783.010498,-0.000923767162,783.010498,-0.001145340386,
781.9944458,-0.001069119549,781.9944458,-0.001689444878,781.9944458,-0.001232647337,
781.0128784,-0.001603828743,781.0128784,-0.001811857102,781.0128784,-0.001698005595,
779.9960327,-0.001722449088,779.9960327,-0.001123136492,779.9960327,-0.001598928473,
779.0137329,-0.001409272896,779.0137329,-0.001922122203,779.0137329,-0.001902586897,
777.9960327,-0.001618735376,777.9960327,-0.002009221585,777.9960327,-0.00180592807,
777.0130615,-0.001943769865,777.0130615,-0.001983093563,777.0130615,-0.001440440654,
775.9945679,-0.002012210665,775.9945679,-0.001655252068,775.9945679,-0.001632248983,
775.0108032,-0.001922328374,775.0108032,-0.00169078575,775.0108032,-0.001689032419,
773.9916382,-0.001618683804,773.9916382,-0.001852687798,773.9916382,-0.001497300691,
773.0070801,-0.001818868681,773.0070801,-0.001900731237,773.0070801,-0.001853203285,
771.9870605,-0.001737764222,771.9870605,-0.001972992439,771.9870605,-0.001488839276,
771.0018921,-0.002114130184,771.0018921,-0.001552141388,771.0018921,-0.001562355552,
770.0162964,-0.00185944105,770.0162964,-0.001585981343,770.0162964,-0.002279891632,
768.9950562,-0.001828664099,768.9950562,-0.001683978364,768.9950562,-0.001802164363,
768.0087891,-0.001415620092,768.0087891,-0.001536922879,768.0087891,-0.001872792491,
766.9868164,-0.001011325279,766.9868164,-0.00147465046,766.9868164,-0.001005695318,
765.9997559,-0.0009499073494,765.9997559,-0.001039112918,765.9997559,-0.001465982175,
765.0123291,-0.0006290908786,765.0123291,-0.0007857562159,765.0123291,-0.0007567120483,
763.9892578,-1.553155357E-006,763.9892578,-0.0002354984463,763.9892578,5.656452413E-005,
763.0010986,2.912269156E-005,763.0010986,0.0002811608429,763.0010986,-6.621125794E-005,
762.0126343,-3.385752643E-005,762.0126343,-3.59282385E-005,762.0126343,0.0002985937172,
760.9883423,9.275932825E-005,760.9883423,0.0003682027454,760.9883423,0.0004549511359,
759.9991455,-0.0002170254884,759.9991455,-4.462511788E-005,759.9991455,-0.0001396582229,
759.0095825,-0.0006764427526,759.0095825,-0.0006052579265,759.0095825,-0.0004678697442,
757.9841919,-0.0008834690088,757.9841919,-0.001187885995,757.9841919,-0.00102537428,
756.9938965,-0.00165226066,756.9938965,-0.001449367497,756.9938965,-0.001454372541,
756.0031738,-0.001853976632,756.0031738,-0.001773600583,756.0031738,-0.002047818154,
